# Dictionary for mapping between internal names and GRIB2 shortNames
# needed by GRIB2 read procedures.
# can be used in mamelist &io_nml for output_nml_dict if linvert_dict=T
# internal name             GRIB2 shortName
aer_bc                      AER_BC
aer_du                      AER_DUST
aer_or                      AER_ORG
aer_ss                      AER_SS
aer_su                      AER_SO4
alb_si                      ALB_SEAICE
albdif                      ALB_RAD
asobclr_s                   ASOB_S_CS
asob_s_os                   ASOB_S_OS
asob_s_tan_os               ASOB_S_TAN_OS
asodifd_s                   ASWDIFD_S
asodifu_s                   ASWDIFU_S
asodird_s                   ASWDIR_S
asodird_s_os                ASWDIR_S_OS
aswflx_par_sfc              APAB_S
c_t_lk                      C_T_LK
cape                        CAPE_CON
ddt_tke_hsh                 DTKE_HSH
ddt_tke_pconv               DTKE_CON
dzh_snow                    H_SNOW_M
fr_seaice                   FR_ICE
freshsnow                   FRESHSNW
geopot                      FI
graupel_gsp                 GRAU_GSP
graupel_gsp_rate            PRG_GSP
gust10                      VMAX_10M
gz0                         Z0
h_b1_lk                     H_B1_LK
h_ice                       H_ICE
h_ml_lk                     H_ML_LK
h_snow                      H_SNOW
hail_gsp_rate               PRH_GSP
hsnow_max                   HSNOW_MAX
mlpi_con                    LPI_CON_CI
mlpi_con_max                LPI_CON_CI_MAX
lpi_con_max                 LPI_CON_MAX
p_avginc                    P_LML_FILTINC
plantevap                   EVAP_PL
pollalnu                    ALNUSNC
pollambr                    AMBRSNC
pollbetu                    BETUSNC
pollcory                    CORYsnc
pollpoac                    POACSNC
prec_gsp                    PREC_GSP
prec_gsp_rate               PR_GSP
pres                        P
pres_msl                    PMSL
pres_sfc                    PS
qc                          QC
qh                          QH
qi                          QI
qnc                         NCCLOUD
qng                         NCGRAUPEL
qnh                         NCHAIL
qni                         NCICE
qnr                         NCRAIN
qns                         NCSNOW
qr                          QR
qs                          QS
qv                          QV
qv_s                        QV_S
rain_gsp_rate               PRR_GSP
rh                          RELHUM
rh_2m                       RELHUM_2M
rh_2m_land                  RELHUM_2M_L
rh_avginc                   RELHUM_LML_FILTINC
rh_daywgt_avginc            RELHUM_LML_DTWGT_FILTINC
